                       Compras - Últimas Movimentações                 04/01/25 
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
E/S| |Tp.NF| |  Nro Nota| | Agenda| |Data    | |   Produto| |Descrição Produto             | |   Forn.| |Sec/Grp/SGrp| |        Qtde| |Emb       | |     Custo Un| |    Custo Tot| |Vencimento| |Filial   | |Orig/Dest| |Descrição                     

S  | |V    | |     63337| |     33| |03/01/25| |      37-0| |MINGAU COPO 300ml             | | 2012537| |046/001/003 | |          26| |UN/00001  | |         8,00| |       208,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |      43-4| |LANCHAO C/QUEIJO/PRESUNTO     | | 2012537| |056/004/001 | |          10| |UN/00001  | |         9,00| |        90,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |      50-7| |TROUXINHA FRANGO              | | 2012537| |056/003/001 | |           2| |UN/00001  | |         8,00| |        16,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |      89-2| |KIBE C/PICADINHO UND          | | 2012537| |056/001/001 | |           8| |UN/00001  | |         7,00| |        56,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     112-0| |SUCO GOIABA 300ML             | | 2012537| |056/021/001 | |          27| |CP/00001  | |         3,50| |        94,50| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     130-9| |SANDUICHE EGG S SALADA        | | 2012537| |056/012/001 | |           3| |UN/00001  | |        13,50| |        40,50| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     142-2| |CAFE C/LEITE EXPRESSO GDE     | | 2012537| |056/008/001 | |          21| |UN/00001  | |         8,00| |       168,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     145-7| |SUCO MARACUJA 300ML           | | 2012537| |056/021/001 | |           8| |CP/00001  | |         4,95| |        39,60| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     146-5| |SUCO ACEROLA 300ML            | | 2012537| |056/021/001 | |           6| |CP/00001  | |         3,45| |        20,70| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     147-3| |SUCO CUPUACU 300ML            | | 2012537| |056/021/001 | |          27| |CP/00001  | |         3,90| |       105,30| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     148-1| |SUCO LARANJA 300ML            | | 2012537| |056/021/001 | |           1| |CP/00001  | |         9,98| |         9,98| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     155-4| |PUDIM LEITE UND               | | 2012537| |056/018/001 | |          21| |UN/00001  | |         8,00| |       168,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     157-0| |PUDIM TAPIOCA UND             | | 2012537| |056/018/001 | |           3| |UN/00001  | |         8,00| |        24,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     160-0| |PUDIM MARACUJA UND            | | 2012537| |056/018/001 | |           1| |UN/00001  | |         8,00| |         8,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     161-9| |PUDIM CUPUACU UND             | | 2012537| |056/018/001 | |           5| |UN/00001  | |         8,00| |        40,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     163-5| |TORTA ATUM FATIA              | | 2012537| |056/002/001 | |           1| |UN/00001  | |         8,95| |         8,95| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     165-1| |COXINHA GALINHA UND           | | 2012537| |056/001/001 | |          45| |UN/00001  | |         9,00| |       405,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     194-5| |TORTA BACALHAU FATIA          | | 2012537| |056/002/001 | |           3| |UN/00001  | |         8,95| |        26,85| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     196-1| |MOUSSE MORANGO UND            | | 2012537| |056/016/001 | |           3| |UN/00001  | |         8,00| |        24,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     204-6| |PIZZA FATIA UND               | | 2012537| |056/004/001 | |          23| |KG/00001  | |         7,00| |       161,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     214-3| |BOLINHO CARNE UND             | | 2012537| |056/001/001 | |           8| |UN/00001  | |         9,00| |        72,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     217-8| |ABACAXI UND (15)              | | 1059963| |031/001/003 | |          10| |UN/00001  | |         7,98| |        79,80| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     221-6| |ENROLADINHO SALSICHA UND      | | 2012537| |056/001/001 | |          17| |UN/00001  | |         8,00| |       136,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     233-0| |PASTEL FOLHADO QUEIJO/PRES UND| | 2012537| |056/003/001 | |           4| |UN/00001  | |         8,95| |        35,80| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     234-8| |JAMBU MC                      | | 1013530| |031/002/002 | |          77| |MC/00001  | |         2,99| |       230,23| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     235-6| |CARIRU MC                     | | 1013530| |031/002/002 | |          31| |MC/00001  | |         2,45| |        75,95| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     236-4| |AGRIAO REGIONAL               | | 1013530| |031/002/002 | |           4| |MC/00001  | |         3,98| |        15,92| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     237-2| |ESPINAFRE MC                  | | 1013530| |031/002/002 | |          30| |MC/00001  | |         2,45| |        73,50| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     238-0| |CHICORIA MC                   | | 1013530| |031/002/002 | |         102| |MC/00001  | |         2,58| |       263,16| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     239-9| |CEBOLINHA MC                  | | 1013530| |031/002/002 | |          63| |MC/00001  | |         2,58| |       162,54| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     241-0| |SALSA MC                      | | 1013530| |031/002/002 | |          88| |MC/00001  | |         3,49| |       307,12| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     242-9| |COENTRO/CHEIRO VDE MC         | | 1013530| |031/002/002 | |         408| |MC/00001  | |         3,88| |     1.583,04| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     243-7| |HORTELA MC                    | | 1013530| |031/002/002 | |          23| |MC/00001  | |         2,89| |        66,47| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     244-5| |ALFAVACA REGIONAL             | | 1013530| |031/002/002 | |           3| |MC/00001  | |         2,45| |         7,35| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     246-1| |FEIJAO VERDE PA MC            | | 1013530| |031/002/002 | |          31| |MC/00001  | |         2,99| |        92,69| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     247-0| |PAO FRANCES C/MANT 50G        | | 2012537| |056/012/001 | |           6| |UN/00001  | |         4,00| |        24,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     261-5| |TORTA CAMARAO FATIA           | | 2012537| |056/002/001 | |           3| |UN/00001  | |         8,95| |        26,85| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     262-3| |TORTA FRANGO FATIA            | | 2012537| |056/002/001 | |           8| |UN/00001  | |         8,00| |        64,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     263-1| |UNHA CARANGUEJO UND           | | 2012537| |056/001/001 | |          20| |UN/00001  | |        10,00| |       200,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     276-3| |CUSCUS FATIA                  | | 2012537| |046/003/001 | |           3| |UN/00001  | |         9,00| |        27,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     283-6| |TORTA NEGA MALUCA FATIA       | | 2012537| |056/019/001 | |           8| |UN/00001  | |         8,95| |        71,60| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     290-9| |VITAMINA DIVERSAS             | | 2012537| |056/009/001 | |           3| |UN/00001  | |         6,50| |        19,50| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     296-8| |CAFE EXPRESSO PEQ             | | 2012537| |056/008/001 | |           4| |UN/00001  | |         3,50| |        14,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     297-6| |CAFE C/LEITE PEQ              | | 2012537| |056/008/001 | |           5| |UN/00001  | |         3,00| |        15,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     306-9| |VINAGREIRA                    | | 1013530| |031/002/002 | |           2| |MC/00001  | |         2,20| |         4,40| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     307-7| |CASADINHO MC                  | | 1013530| |031/002/002 | |          80| |MC/00001  | |         3,88| |       310,40| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     315-8| |CAFE EXPRESSO GDE             | | 2012537| |056/008/001 | |           3| |UN/00001  | |         7,00| |        21,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
                       Compras - Últimas Movimentações                 04/01/25 
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
E/S| |Tp.NF| |  Nro Nota| | Agenda| |Data    | |   Produto| |Descrição Produto             | |   Forn.| |Sec/Grp/SGrp| |        Qtde| |Emb       | |     Custo Un| |    Custo Tot| |Vencimento| |Filial   | |Orig/Dest| |Descrição                     

S  | |V    | |     63337| |     33| |03/01/25| |     328-0| |BALDE VAZIO MARGARINA 15KG    | | 1006878| |029/004/001 | |           1| |BD/00001  | |         8,00| |         8,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     329-8| |TAPIOQUINHA C/MANTEIGA        | | 2012537| |056/022/003 | |           2| |UN/00001  | |         5,00| |        10,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     332-8| |SANDUICHE MISTO QUENTE        | | 2012537| |056/012/001 | |          11| |UN/00001  | |         9,00| |        99,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     333-6| |SANDUICHE QUEIJO QUENTE       | | 2012537| |056/012/001 | |          10| |UN/00001  | |         8,00| |        80,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
